Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02144,2013.06,2117,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2014.06,2459,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2015.06,2569,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2016.06,2400,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2017.06,2333,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2018.06,2281,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2019.06,2137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2020.06,1768,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2021.06,1458,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2022.06,1782,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2023.06,3624,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02981,2009.06,172,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2010.06,164,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2011.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2012.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2013.06,185,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2014.06,214,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2015.06,238,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2016.06,285,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2017.06,253,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2018.06,289,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2019.06,315,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2020.06,333,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SCS01G02981,2021.06,339,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Current grants,,,,
